trade_id,date_shamsi,time,action,signal,price_irr,qty_usdt,gross_value_irr,fee_irr,pnl_trade_irr,pnl_realized_total_irr,cash_after_irr,usdt_after,equity_after_irr
22,1404/11/25,13:09:20,SELL,🔴 زمان قطعی فروش تتر,1599400.0,673.81105183,1077693396.29,3771926.89,-19808629.92,112874000.3,1073921469.4,0.0,1073921469.4
23,1404/11/28,14:14:33,BUY,🟢 زمان قطعی خرید تتر,1623000.0,659.38130247,1070175853.92,3745615.49,0.0,112874000.3,0.0,659.38130247,1070175853.92
24,1404/11/28,16:09:44,SELL,🔴 زمان قطعی فروش تتر,1628900.0,659.38130247,1074066203.6,3759231.71,131117.97,113005118.28,1070306971.89,0.0,1070306971.89
25,1404/12/09,19:50:28,BUY,🟢 زمان قطعی خرید تتر,1612800.0,661.31818143,1066573963.02,3733008.87,0.0,113005118.28,0.0,661.31818143,1066573963.02
26,1404/12/11,06:37:31,SELL,🔴 زمان قطعی فروش تتر,1689100.0,661.31818143,1117032540.26,3909613.89,46548963.35,159554081.63,1113122926.37,0.0,1113122926.37
27,1404/12/11,08:24:51,BUY,🟢 زمان قطعی خرید تتر,1651400.0,671.69709599,1109240584.32,3882342.05,0.0,159554081.63,0.0,671.69709599,1109240584.32
28,1405/01/03,15:45:31,SELL,🔴 زمان قطعی فروش تتر,1535300.0,671.69709599,1031256551.48,3609397.93,-81593430.78,77960650.85,1027647153.55,0.0,1027647153.55
29,1405/01/04,09:32:01,BUY,🟢 زمان قطعی خرید تتر,1535300.0,667.0116155,1024062933.28,3584220.27,0.0,77960650.85,0.0,667.0116155,1024062933.28
30,1405/01/16,04:21:38,SELL,🔴 زمان قطعی فروش تتر,1596500.0,667.0116155,1064884044.15,3727094.15,37094016.71,115054667.57,1061156950.0,0.0,1061156950.0
31,1405/01/20,19:42:05,BUY,🟢 زمان قطعی خرید تتر,1561700.0,677.11843152,1057455854.51,3701095.49,0.0,115054667.57,0.0,677.11843152,1057455854.51
32,1405/01/22,10:50:13,SELL,🔴 زمان قطعی فروش تتر,1546500.0,677.11843152,1047163654.35,3665072.79,-13957272.95,101097394.62,1043498581.56,0.0,1043498581.56
33,1405/01/25,10:18:52,BUY,🟢 زمان قطعی خرید تتر,1567100.0,663.55629813,1039859074.8,3639506.76,0.0,101097394.62,0.0,663.55629813,1039859074.8
34,1405/01/26,11:34:42,SELL,🔴 زمان قطعی فروش تتر,1551700.0,663.55629813,1029640307.8,3603741.08,-13822508.07,87274886.55,1026036566.73,0.0,1026036566.73
35,1405/01/28,14:11:46,BUY,🟢 زمان قطعی خرید تتر,1513300.0,675.64789787,1022457963.85,3578602.87,0.0,87274886.55,0.0,675.64789787,1022457963.85
36,1405/01/29,14:30:53,SELL,🔴 زمان قطعی فروش تتر,1509000.0,675.64789787,1019552677.89,3568434.37,-6473720.33,80801166.22,1015984243.52,0.0,1015984243.52
37,1405/01/30,09:34:29,BUY,🟢 زمان قطعی خرید تتر,1525600.0,663.63443961,1012440701.07,3543542.45,0.0,80801166.22,0.0,663.63443961,1012440701.07
38,1405/01/30,15:48:46,SELL,🔴 زمان قطعی فروش تتر,1513500.0,663.63443961,1004410724.35,3515437.54,-11545414.25,69255751.96,1000895286.81,0.0,1000895286.81
39,1405/01/31,12:56:03,BUY,🟢 زمان قطعی خرید تتر,1515000.0,658.35272047,997404371.51,3490915.3,0.0,69255751.96,0.0,658.35272047,997404371.51
40,1405/01/31,16:14:57,SELL,🔴 زمان قطعی فروش تتر,1517100.0,658.35272047,998786912.22,3495754.19,-2113213.48,67142538.48,995291158.03,0.0,995291158.03
41,1405/02/01,09:50:10,BUY,🟢 زمان قطعی خرید تتر,1510300.0,656.70382624,991819788.77,3471369.26,0.0,67142538.48,0.0,656.70382624,991819788.77
42,1405/02/01,18:49:35,SELL,🔴 زمان قطعی فروش تتر,1529000.0,656.70382624,1004100150.32,3514350.53,8766011.02,75908549.51,1000585799.8,0.0,1000585799.8
43,1405/02/03,09:55:11,BUY,🟢 زمان قطعی خرید تتر,1532000.0,650.84592945,997095963.92,3489835.87,0.0,75908549.51,0.0,650.84592945,997095963.92
